date,product,category,region,sales,revenue
2026-04-01,Keyboard,Accessories,North,130,124150
2026-04-01,Mouse,Accessories,North,132,118668
2026-04-01,Headphones,Accessories,North,111,129537
2026-04-01,Webcam,Accessories,North,183,185196
2026-04-01,Speaker,Accessories,North,34,44948
2026-04-02,Keyboard,Accessories,North,96,132288
2026-04-02,Mouse,Accessories,North,129,122163
2026-04-02,Headphones,Accessories,North,71,104086
2026-04-02,Webcam,Accessories,North,106,80242
2026-04-02,Speaker,Accessories,North,32,17888
2026-04-03,Keyboard,Accessories,North,62,24428
2026-04-03,Mouse,Accessories,North,133,231952
2026-04-03,Headphones,Accessories,North,57,95532
2026-04-03,Webcam,Accessories,North,168,150696
2026-04-03,Speaker,Accessories,North,95,61560
2026-04-04,Keyboard,Accessories,North,56,61488
2026-04-04,Mouse,Accessories,North,105,88095
2026-04-04,Headphones,Accessories,North,133,36309
2026-04-04,Webcam,Accessories,North,39,36426
2026-04-04,Speaker,Accessories,North,132,173976
2026-04-05,Keyboard,Accessories,North,90,104670
2026-04-05,Mouse,Accessories,North,130,101530
2026-04-05,Headphones,Accessories,North,96,145248
2026-04-05,Webcam,Accessories,North,200,165200
2026-04-05,Speaker,Accessories,North,198,192852
2026-04-06,Keyboard,Accessories,North,89,85618
2026-04-06,Mouse,Accessories,North,127,85344
2026-04-06,Headphones,Accessories,North,83,54282
2026-04-06,Webcam,Accessories,North,28,35280
2026-04-06,Speaker,Accessories,North,121,136004
2026-04-07,Keyboard,Accessories,North,161,141197
2026-04-07,Mouse,Accessories,North,121,108537
2026-04-07,Headphones,Accessories,North,207,154215
2026-04-07,Webcam,Accessories,North,166,230408
2026-04-07,Speaker,Accessories,North,76,108148
2026-04-08,Keyboard,Accessories,North,80,54000
2026-04-08,Mouse,Accessories,North,140,223860
2026-04-08,Headphones,Accessories,North,28,13188
2026-04-08,Webcam,Accessories,North,168,149184
2026-04-08,Speaker,Accessories,North,79,92035
2026-04-09,Keyboard,Accessories,North,56,93912
2026-04-09,Mouse,Accessories,North,140,237300
