date,product,category,region,sales,revenue
2026-04-01,Laptop,Electronics,South,236,188564
2026-04-01,Mobile,Electronics,South,158,209034
2026-04-01,Tablet,Electronics,South,49,24696
2026-04-01,Monitor,Electronics,South,210,346290
2026-04-01,Camera,Electronics,South,37,50764
2026-04-02,Laptop,Electronics,South,184,284832
2026-04-02,Mobile,Electronics,South,221,295919
2026-04-02,Tablet,Electronics,South,62,81716
2026-04-02,Monitor,Electronics,South,249,124500
2026-04-02,Camera,Electronics,South,145,73950
2026-04-03,Laptop,Electronics,South,50,18700
2026-04-03,Mobile,Electronics,South,214,183398
2026-04-03,Tablet,Electronics,South,213,346551
2026-04-03,Monitor,Electronics,South,109,88181
2026-04-03,Camera,Electronics,South,150,140250
2026-04-04,Laptop,Electronics,South,224,159936
2026-04-04,Mobile,Electronics,South,204,60588
2026-04-04,Tablet,Electronics,South,283,501759
2026-04-04,Monitor,Electronics,South,236,142308
2026-04-04,Camera,Electronics,South,130,45890
2026-04-05,Laptop,Electronics,South,243,402894
2026-04-05,Mobile,Electronics,South,176,270688
2026-04-05,Tablet,Electronics,South,150,262650
2026-04-05,Monitor,Electronics,South,146,37668
2026-04-05,Camera,Electronics,South,219,109719
2026-04-06,Laptop,Electronics,South,76,51756
2026-04-06,Mobile,Electronics,South,67,94537
2026-04-06,Tablet,Electronics,South,75,120150
2026-04-06,Monitor,Electronics,South,275,355025
2026-04-06,Camera,Electronics,South,144,96768
2026-04-07,Laptop,Electronics,South,33,23925
2026-04-07,Mobile,Electronics,South,257,332301
2026-04-07,Tablet,Electronics,South,206,56238
2026-04-07,Monitor,Electronics,South,178,160912
2026-04-07,Camera,Electronics,South,119,199801
2026-04-08,Laptop,Electronics,South,71,51475
2026-04-08,Mobile,Electronics,South,88,37928
2026-04-08,Tablet,Electronics,South,118,109032
2026-04-08,Monitor,Electronics,South,197,225959
2026-04-08,Camera,Electronics,South,189,120204
2026-04-09,Laptop,Electronics,South,117,77922
2026-04-09,Mobile,Electronics,South,159,278886
2026-04-09,Tablet,Electronics,South,240,271200
2026-04-09,Monitor,Electronics,South,105,77280
2026-04-09,Camera,Electronics,South,240,315360
2026-04-10,Laptop,Electronics,South,158,107440
2026-04-10,Mobile,Electronics,South,94,78208
2026-04-10,Tablet,Electronics,South,167,78323
2026-04-10,Monitor,Electronics,South,221,133263
2026-04-10,Camera,Electronics,South,170,269960
2026-04-11,Laptop,Electronics,South,54,24084
2026-04-11,Mobile,Electronics,South,227,239258
2026-04-11,Tablet,Electronics,South,32,32544
2026-04-11,Monitor,Electronics,South,274,110970
2026-04-11,Camera,Electronics,South,260,144560
