date,product,category,region,sales,revenue
2026-02-01,Laptop,Electronics,South,118,138414
2026-02-01,Mobile,Electronics,West,192,267264
2026-02-01,Tablet,Electronics,West,113,157635
2026-02-01,Monitor,Electronics,West,109,84802
2026-02-01,Camera,Electronics,North,185,321345
2026-02-01,Keyboard,Accessories,East,123,45018
2026-02-01,Mouse,Accessories,South,237,227046
2026-02-01,Headphones,Accessories,South,210,324240
2026-02-01,Webcam,Accessories,West,47,68667
2026-02-01,Speaker,Accessories,Central,195,326625
2026-02-01,Printer,Office,West,167,139278
2026-02-01,Scanner,Office,South,144,197136
2026-02-01,Projector,Office,East,136,198288
2026-02-01,Desk Phone,Office,East,114,51528
2026-02-01,Paper Shredder,Office,South,138,176088
2026-02-01,Smart Watch,Wearables,North,235,79195
2026-02-01,VR Headset,Wearables,East,158,179646
2026-02-01,Fitness Band,Wearables,West,153,205785
2026-02-01,Smart Glasses,Wearables,South,28,36680
2026-02-01,Router,Networking,East,140,74760
2026-02-01,Switch,Networking,South,78,28314
2026-02-01,WiFi Adapter,Networking,East,180,160560
2026-02-01,Modem,Networking,West,78,47346
2026-02-01,Access Point,Networking,East,45,13905
2026-02-02,Laptop,Electronics,North,70,91210
2026-02-02,Mobile,Electronics,East,56,78344
2026-02-02,Tablet,Electronics,South,157,253241
2026-02-02,Monitor,Electronics,North,115,87630
2026-02-02,Camera,Electronics,East,73,72124
2026-02-02,Keyboard,Accessories,Central,116,170288
2026-02-02,Mouse,Accessories,North,95,61560
2026-02-02,Headphones,Accessories,Central,77,93478
2026-02-02,Webcam,Accessories,Central,216,83160
2026-02-02,Speaker,Accessories,West,61,61488
2026-02-02,Printer,Office,East,206,247406
2026-02-02,Scanner,Office,East,223,216087
2026-02-02,Projector,Office,East,103,175821
2026-02-02,Desk Phone,Office,South,50,66750
2026-02-02,Paper Shredder,Office,West,146,208196
2026-02-02,Smart Watch,Wearables,South,52,86944
2026-02-02,VR Headset,Wearables,South,118,109504
2026-02-02,Fitness Band,Wearables,West,131,64976
2026-02-02,Smart Glasses,Wearables,South,43,39689
2026-02-02,Router,Networking,South,143,147862
2026-02-02,Switch,Networking,North,232,346608
2026-02-02,WiFi Adapter,Networking,North,51,72012
2026-02-02,Modem,Networking,East,72,77832
2026-02-02,Access Point,Networking,West,237,362610
2026-02-03,Laptop,Electronics,West,51,70992
2026-02-03,Mobile,Electronics,East,116,52084
2026-02-03,Tablet,Electronics,East,111,117438
2026-02-03,Monitor,Electronics,East,145,181830
2026-02-03,Camera,Electronics,West,167,193386
2026-02-03,Keyboard,Accessories,South,75,54750
2026-02-03,Mouse,Accessories,North,139,205025
2026-02-03,Headphones,Accessories,South,99,91080
2026-02-03,Webcam,Accessories,South,143,67210
2026-02-03,Speaker,Accessories,North,55,67210
2026-02-03,Printer,Office,Central,75,94050
2026-02-03,Scanner,Office,East,174,100746
2026-02-03,Projector,Office,South,81,118827
2026-02-03,Desk Phone,Office,South,35,48090
2026-02-03,Paper Shredder,Office,North,42,73374
2026-02-03,Smart Watch,Wearables,North,208,188656
2026-02-03,VR Headset,Wearables,West,196,162680
2026-02-03,Fitness Band,Wearables,West,139,166383
2026-02-03,Smart Glasses,Wearables,West,144,47664
2026-02-03,Router,Networking,South,84,76944
2026-02-03,Switch,Networking,East,47,28482
2026-02-03,WiFi Adapter,Networking,South,163,236187
2026-02-03,Modem,Networking,East,32,35744
2026-02-03,Access Point,Networking,South,236,408752
2026-02-04,Laptop,Electronics,North,51,55590
2026-02-04,Mobile,Electronics,West,152,166896
2026-02-04,Tablet,Electronics,South,159,107802
2026-02-04,Monitor,Electronics,South,146,63510
2026-02-04,Camera,Electronics,East,79,51824
2026-02-04,Keyboard,Accessories,West,118,35518
2026-02-04,Mouse,Accessories,West,133,169176
2026-02-04,Headphones,Accessories,South,102,145962
2026-02-04,Webcam,Accessories,East,70,78400
2026-02-04,Speaker,Accessories,Central,34,38862
2026-02-04,Printer,Office,North,95,111245
2026-02-04,Scanner,Office,North,37,24716
2026-02-04,Projector,Office,Central,115,122245
2026-02-04,Desk Phone,Office,West,211,209312
2026-02-04,Paper Shredder,Office,East,72,94392
2026-02-04,Smart Watch,Wearables,West,33,36366
2026-02-04,VR Headset,Wearables,Central,164,220744
2026-02-04,Fitness Band,Wearables,East,138,205758
2026-02-04,Smart Glasses,Wearables,South,205,270190
2026-02-04,Router,Networking,West,76,49400
2026-02-04,Switch,Networking,Central,110,58410
2026-02-04,WiFi Adapter,Networking,Central,162,281394
2026-02-04,Modem,Networking,South,85,131920
2026-02-04,Access Point,Networking,West,182,87724
2026-02-05,Laptop,Electronics,South,78,130572
2026-02-05,Mobile,Electronics,Central,86,78776
2026-02-05,Tablet,Electronics,East,233,391440
2026-02-05,Monitor,Electronics,Central,232,162168
2026-02-05,Camera,Electronics,North,149,151384
2026-02-05,Keyboard,Accessories,South,101,42521
2026-02-05,Mouse,Accessories,North,66,25080
2026-02-05,Headphones,Accessories,West,176,136400
2026-02-05,Webcam,Accessories,East,65,83720
2026-02-05,Speaker,Accessories,East,233,166828
2026-02-05,Printer,Office,West,179,83235
2026-02-05,Scanner,Office,South,88,114488
2026-02-05,Projector,Office,West,150,188250
2026-02-05,Desk Phone,Office,West,194,182942
2026-02-05,Paper Shredder,Office,South,221,263211
2026-02-05,Smart Watch,Wearables,West,74,132608
2026-02-05,VR Headset,Wearables,North,194,275286
2026-02-05,Fitness Band,Wearables,Central,141,78396
2026-02-05,Smart Glasses,Wearables,West,224,307328
2026-02-05,Router,Networking,South,126,223902
2026-02-05,Switch,Networking,North,230,138920
2026-02-05,WiFi Adapter,Networking,East,70,38850
2026-02-05,Modem,Networking,North,181,234214
2026-02-05,Access Point,Networking,Central,224,106848
2026-02-06,Laptop,Electronics,North,34,30634
2026-02-06,Mobile,Electronics,West,145,210830
2026-02-06,Tablet,Electronics,East,196,102312
2026-02-06,Monitor,Electronics,South,36,28908
2026-02-06,Camera,Electronics,East,136,42976
2026-02-06,Keyboard,Accessories,Central,78,83538
2026-02-06,Mouse,Accessories,North,165,60720
2026-02-06,Headphones,Accessories,North,130,202800
2026-02-06,Webcam,Accessories,Central,110,79090
